DESC,DATE,AMOUNT
Interest Payment,01/01/19,£512.31
Interest Payment,01/02/19,£512.31
Interest Payment,01/03/19,£512.31
Interest Payment,01/04/19,£512.31
Interest Payment,01/05/19,£512.31
Interest Payment,01/06/19,£512.31
Interest Payment,01/07/19,£512.31
Interest Payment,01/08/19,£512.31
Interest Payment,01/09/19,£512.31
Interest Payment,01/10/19,£512.31
Interest Payment,01/11/20,£527.31
Interest Payment,01/12/20,£527.31
Interest Payment,01/01/21,£535.31
Interest Payment,01/02/21,£535.31
Interest Payment,01/03/21,£535.31
Interest Payment,01/07/20,£527.31
Interest Payment,01/08/20,£527.31
Interest Payment,01/09/20,£527.31
Interest Payment,01/10/20,£527.31
Interest Payment,01/04/21,£535.31
Interest Payment,01/05/21,£535.31
Interest Payment,01/06/21,£535.31
Interest Payment,01/07/21,£535.31
Interest Payment,01/08/21,£535.31
Interest Payment,01/09/21,£535.31
Interest Payment,01/10/21,£535.31
Interest Payment,01/11/21,£535.31
Interest Payment,01/12/21,£535.31
Voluntary Payment,10/06/21,"£1,356.00"
Voluntary Payment,07/05/20,"£1,396.00"
Interest Payment,01/11/19,£512.31
Interest Payment,01/12/19,£512.31
Interest Payment,01/01/20,£527.31
Interest Payment,01/02/20,£527.31
Interest Payment,01/03/20,£527.31
Interest Payment,01/04/20,£527.31
Interest Payment,01/05/20,£527.31
Interest Payment,01/06/20,£527.31
